artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Justine Skye;Tyga,Collide,-1.6317417748148826,0.26976388273350294,False,-0.7873195669995969,-1.2653394214204972,1.598910168886721,-0.3040261774240054,0,-0.20100790233955734,-0.649690679249074,-0.5176130767660246,0.3040031676482054,-1.2332079265596791,0.44235880766270225,4,alternative
Anime,Hardshock (Official Hardshock 2019 Anthem),-0.77751779666923,-0.04909716274624815,False,-1.194423480942445,1.384266547567873,0.4815987994586618,1.4087377979410436,1,3.2076385079362995,-0.8390153541811141,0.007589355716634959,0.6729492566370592,-1.6612439093648252,1.916551859600163,4,happy
Sean Paul;Pia Mia,How We Do It (feat. Pia Mia),0.9309301596220749,-0.41322784214904323,True,0.34225044774323454,0.7040691943350375,-1.4736960970404422,0.9278342701772004,1,4.119588680491676,-0.5274495505527961,-0.5176130767660246,0.08055694473946282,1.0059286290030531,0.27841530228202904,5,dancehall
Bethel Music;Jenn Johnson;Michaela Gentile,In The Ordinary - Spontaneous,0.741102608923041,-0.48107942853311514,False,-0.42035265865674815,-1.6173020053607434,-1.4736960970404422,-1.106908876946299,1,-0.5564823573560403,0.855962247375812,-0.5176130767660246,-0.6786405707714044,-1.4722561272921995,-0.6104554863345079,4,ambient
The Spencer Davis Group,Keep On Running - Remastered 2010,-1.6317417748148826,-0.5400321573340274,False,0.6174756290003715,0.19392117941041093,1.0402544841726915,0.11511714268427645,1,0.06420209682195496,0.024126274052360192,-0.5176037433493028,0.7041277993685117,1.3241421429651747,0.5331536775191392,4,rock-n-roll
BiS,STUPiD (NEW TYPE Ver.),-0.35040580759640383,0.12458915362684754,False,-1.309100639799585,1.2972645605264637,0.4815987994586618,1.4520092810118186,1,0.5741497443325116,-0.9536334068322542,-0.343283835622684,-0.3715319248665978,0.3462176854230457,2.5905714215267155,4,j-idol
Traditional;Byron Nelson High School Symphony Orchestra;Jed Weeks,Nina bobo (Arr. A. Breur for Orchestra) [Live],-1.584284887140124,-0.6274347981508036,False,-2.27812263214242,-2.41455657752202,0.4815987994586618,-4.568824211167731,1,-0.4578428488959691,1.7891689127888601,1.5389024721118594,3.2243933368275846,-0.9848461595648524,-1.1508630890627172,4,sleep
Avicii;Nicky Romero,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,1.642783474743452,-0.18728496703761086,False,-0.3114093577424648,0.5933393926459716,0.20227095710164694,0.8965607892305947,0,-0.455051164694269,0.036052237827606824,-0.5174020466320091,0.5170565429797971,0.6527892415572845,0.18821973849725168,4,edm
Mickie Krause,Eine Woche wach,-1.6317417748148826,0.05574195248347161,False,0.8468299467146515,1.4119489979901396,0.4815987994586618,1.0350295350570755,1,-0.10516007808118624,-0.7680558697183966,-0.5176130767660246,0.5898064760198528,1.1262288598911723,0.3898196420472062,4,party
Lil Peep,drugz,1.3105852610201427,-0.7917905301867051,True,0.10716227208609684,-0.8936036586072036,-1.4736960970404422,-0.5646385186457201,1,-0.4215509542738674,-0.8074115501767105,-0.5149459342926338,0.9171811747001035,-1.6232135137937425,-0.8082597847639511,4,emo
Desmond Dennis,Stop the Bullying,-1.1097160103925394,-0.4731585642090948,False,0.8009590831717953,-0.7354182276228232,0.20227095710164694,-0.8476733556404727,1,-0.5248432697367722,-0.640746206417639,-0.5176048190651285,-0.6490209551765246,0.43935334804610526,-0.26598767425724473,4,kids
Legião Urbana,Metal Contra As Nuvens - Ao Vivo Em São Paulo / 1999,0.40890439519973176,2.9212974447620392,False,-1.0682786061995906,-0.43091127297789095,0.4815987994586618,0.4152638843479265,1,-0.519259901333372,0.5160722797812832,-0.5176130767660246,-0.47546040063810596,-0.10393801725507744,-1.1059817232517613,4,mpb
Havoc Brothers,Idhayathai Kolluriyeh,-0.11312136922261146,-0.2356559849896372,False,0.6461449187146565,-0.41509272987945295,-1.4736960970404422,-1.3214960952654613,0,-0.3070919020041622,1.4999642912391293,-0.5175846968514501,-0.6064102801102063,0.36174029586022194,-0.0754083434694761,4,malay
